date,country,CPI,GDP,IR,UE
1999-12-01,US,0.299999999999983,0.0702053980600113,0.14,-0.0999999999999996
2000-01-01,US,0.600000000000023,0.0572689890599918,0,0
2000-02-01,US,0.0999999999999943,0.0622617864599988,0.24,0.0999999999999996
2000-03-01,US,0.599999999999994,0.075402940071001,0.0999999999999996,-0.0999999999999996
2000-04-01,US,0.300000000000011,0.0727533890899963,0.16,-0.2
2000-05-01,US,0.399999999999977,0.0449085860000054,0.21,0.2
2000-06-01,US,0.400000000000006,-0.00273021003199858,0.29,0
2000-07-01,US,0.400000000000006,-0.0479208142929934,0,0
2000-08-01,US,0.400000000000006,-0.0817093945580041,0,0.0999999999999996
2000-09-01,US,0.400000000000006,-0.105058320992001,0,-0.2
2000-10-01,US,0.299999999999983,-0.126195826717009,0,0
2000-11-01,US,0.5,-0.148891361476998,0,0
2000-12-01,US,0.200000000000017,-0.170817718374991,0,0
2001-01-01,US,0.599999999999994,-0.181852670904007,-0.48,0.3
2001-02-01,US,0.5,-0.180466073161995,-0.52,0
2001-03-01,US,0.299999999999983,-0.172657704352005,-0.19,0.0999999999999996
2001-04-01,US,0.400000000000006,-0.171796088886993,-0.529999999999999,0.100000000000001
2001-05-01,US,0.200000000000017,-0.181732790324006,-0.55,-0.100000000000001
2001-06-01,US,0.699999999999989,-0.196859793399796,-0.26,0.2
2001-07-01,US,0.400000000000006,-0.201417380790403,-0.22,0.0999999999999996
2001-08-01,US,0.299999999999983,-0.188023335053799,-0.0899999999999999,0.300000000000001
2001-09-01,US,0.400000000000006,-0.157105680078999,-0.39,0.0999999999999996
2001-10-01,US,0.300000000000011,-0.117624231688495,-0.75,0.3
2001-11-01,US,0.699999999999989,-0.0756458073434061,-0.44,0.2
2001-12-01,US,0.300000000000011,-0.0371621687707062,-0.25,0.2
2002-01-01,US,0.299999999999983,-0.0110873020507967,-0.0800000000000001,0
2002-02-01,US,0.400000000000006,-0.000253954005103196,0,0
2002-03-01,US,0.0999999999999943,-0.00330593444930116,0,0
2002-04-01,US,0.5,-0.0154738778471994,0,0.2
2002-05-01,US,0.300000000000011,-0.0334581052502898,0,-0.100000000000001
2002-06-01,US,0.199999999999989,-0.0545595929073102,0,0
2002-07-01,US,0.300000000000011,-0.0754066082016891,0,0
2002-08-01,US,0.599999999999994,-0.0935341289360991,0,-0.0999999999999996
2002-09-01,US,0.200000000000017,-0.105902659372603,0,0
2002-10-01,US,0.199999999999989,-0.107619556799804,0,0
2002-11-01,US,0.400000000000006,-0.096652622479894,-0.42,0.2
2002-12-01,US,0.199999999999989,-0.0736700963317105,-0.08,0.0999999999999996
2003-01-01,US,0.300000000000011,-0.0427924909409967,1.5,-0.2
2003-02-01,US,0.0999999999999943,-0.00548858807599117,0,0.100000000000001
2003-03-01,US,0,0.0371693972442984,0,0
2003-04-01,US,0,0.0817908101625022,0,0.0999999999999996
2003-05-01,US,0.400000000000006,0.125518780912088,0,0.0999999999999996
2003-06-01,US,0.0999999999999943,0.162739906821798,-0.25,0.2
2003-07-01,US,0.400000000000006,0.18182411960511,0,-0.0999999999999996
2003-08-01,US,0.199999999999989,0.178759247807491,0,-0.100000000000001
2003-09-01,US,0.0999999999999943,0.15573870812311,0,0
2003-10-01,US,0.300000000000011,0.121361197989998,0,-0.0999999999999996
2003-11-01,US,0,0.082019913674003,0,-0.2
2003-12-01,US,0.199999999999989,0.0442819447375911,0,-0.0999999999999996
2004-01-01,US,0.400000000000006,0.0176292624810088,0,0
2004-02-01,US,0.300000000000011,0.00530128691200105,0,-0.100000000000001
2004-03-01,US,0.599999999999994,0.00621846281619298,0,0.2
2004-04-01,US,0.400000000000006,0.0159164733464934,0,-0.2
2004-05-01,US,0.299999999999983,0.031067589503607,0,0
2004-06-01,US,0.400000000000006,0.0488149331360006,0.25,0
2004-07-01,US,0.200000000000017,0.0657156229679998,0,-0.0999999999999996
2004-08-01,US,0.0999999999999943,0.0802141318578009,0.25,-0.0999999999999996
2004-09-01,US,0.599999999999994,0.0914647212365054,0.25,0
2004-10-01,US,0.400000000000006,0.0983364458837883,0,0.0999999999999996
2004-11-01,US,0.400000000000006,0.0999442884129991,0.25,-0.0999999999999996
2004-12-01,US,0.299999999999983,0.0952181728819994,0.25,0
2005-01-01,US,0.400000000000006,0.0828608221450082,0,-0.100000000000001
2005-02-01,US,0.400000000000006,0.0640522910399994,0.25,0.100000000000001
2005-03-01,US,0.699999999999989,0.0434296451889935,0.25,-0.2
2005-04-01,US,0.0999999999999943,0.0305249012010052,0,0
2005-05-01,US,0.300000000000011,0.0287801542969959,0.25,-0.100000000000001
2005-06-01,US,0.0999999999999943,0.036617364316001,0.25,-0.0999999999999996
2005-07-01,US,0.300000000000011,0.0477297649900095,0,0
2005-08-01,US,0.199999999999989,0.0592552881509931,0.25,-0.0999999999999996
2005-09-01,US,0.200000000000017,0.0711300391240002,0.25,0.0999999999999996
2005-10-01,US,0.699999999999989,0.0854249191529988,0,0
2005-11-01,US,0.5,0.100652358946007,0.25,0
2005-12-01,US,0.300000000000011,0.110911276235001,0.25,-0.0999999999999996
2006-01-01,US,0.399999999999977,0.104956723556001,0.25,-0.2
2006-02-01,US,0.400000000000006,0.0796788937169879,0,0.0999999999999996
2006-03-01,US,0.700000000000017,0.0407562341010106,0.25,-0.0999999999999996
2006-04-01,US,0.5,0.00466359527599991,0,0
2006-05-01,US,0.599999999999994,-0.0200103212490035,0.25,-0.100000000000001
2006-06-01,US,0.5,-0.0297827387639984,0.25,0
2006-07-01,US,0.400000000000006,-0.0242505499389978,0,0.100000000000001
2006-08-01,US,0.5,-0.00667666154100743,0,0
2006-09-01,US,0.399999999999977,0.0158957555780006,0,-0.2
2006-10-01,US,0.400000000000006,0.031634578795007,0,-0.0999999999999996
2006-11-01,US,0.200000000000017,0.0364785897759958,0,0.0999999999999996
2006-12-01,US,0.299999999999983,0.033229349175997,0,-0.0999999999999996
2007-01-01,US,0.5,0.0314449771260001,0,0.199999999999999
2007-02-01,US,0.534999999999997,0.0357052900109949,0,-0.0999999999999996
2007-03-01,US,0.283000000000015,0.0459878924660018,0,-0.0999999999999996
2007-04-01,US,0.329000000000008,0.0576092743760057,0,0.0999999999999996
2007-05-01,US,0.310999999999979,0.0675054772179919,0,-0.0999999999999996
2007-06-01,US,0.334000000000003,0.0736296173110134,0,0.199999999999999
2007-07-01,US,0.381,0.0744717806949922,0,0.100000000000001
2007-08-01,US,0.346000000000004,0.0683178751460076,-0.5,-0.100000000000001
2007-09-01,US,0.435000000000002,0.0534153347329891,-0.5,0.100000000000001
2007-10-01,US,0.522999999999996,0.0286408125160023,-0.25,0
2007-11-01,US,0.582999999999998,-0.003846908952994,0,0
2007-12-01,US,0.50800000000001,-0.0366301034709977,-0.25,0.3
2008-01-01,US,0.60299999999998,-0.0545547428800006,-1.25,0
2008-02-01,US,0.168000000000006,-0.0560268727629989,0,-0.0999999999999996
2008-03-01,US,0.480999999999995,-0.0515162669760088,-1,0.199999999999999
2008-04-01,US,0.140000000000015,-0.063237446388996,-0.25,-0.0999999999999996
2008-05-01,US,0.376000000000005,-0.103266248145005,0,0.4
2008-06-01,US,0.488,-0.172539210086995,0,0.199999999999999
2008-07-01,US,0.540999999999997,-0.257871196292001,0,0.2
2008-08-01,US,0.427999999999997,-0.348173122657002,0,0.3
2008-09-01,US,0.319999999999993,-0.428393435098002,0,0
2008-10-01,US,0.0750000000000171,-0.473305564858691,-1,0.4
2008-11-01,US,0.158999999999992,-0.474053271603111,0,0.3
2008-12-01,US,-0.0219999999999914,-0.434500095394995,-0.75,0.5
2009-01-01,US,0.420999999999992,-0.370674181374199,0,0.5
2009-02-01,US,0.445999999999998,-0.2921382123737,0,0.500000000000001
2009-03-01,US,0.460999999999984,-0.2066960237958,0,0.399999999999999
2009-04-01,US,0.453000000000003,-0.126129345236407,0,0.300000000000001
2009-05-01,US,0.198000000000008,-0.0533766642592894,0,0.4
2009-06-01,US,0.207999999999998,0.0115033171448999,0,0.0999999999999996
2009-07-01,US,0.15100000000001,0.0660217299036958,0,0
2009-08-01,US,0.233000000000004,0.110278423624806,0,0.0999999999999996
2009-09-01,US,0.423999999999978,0.142945908060895,0,0.200000000000001
2009-10-01,US,0.581000000000017,0.157962458549306,0,0.199999999999999
